participant_id,variant,audio_duration_sec,preprocessing_sec,acoustic_extraction_sec,transcription_sec,text_analysis_sec,scoring_sec,feedback_generation_sec,total_runtime_sec,real_time_factor
S01_T1,speech_only,66.432,6.8252,6.3777,0.0,0.0,0.0001,0.0001,13.2031,0.198746
S01_T1,text_only,66.432,0.0428,0.0,116.5026,0.0009,0.0001,0.0001,116.5465,1.754373
S01_T1,multimodal,66.432,0.0441,5.2052,128.795,0.0007,0.0001,0.0001,134.0452,2.017781
S01_T2,speech_only,49.568,0.0366,3.8974,0.0,0.0,0.0001,0.0001,3.9342,0.07937
S01_T2,text_only,49.568,0.0309,0.0,130.089,0.0006,0.0001,0.0001,130.1207,2.625095
S01_T2,multimodal,49.568,0.034,3.8878,147.6505,0.0006,0.0001,0.0001,151.5731,3.057882
S02_T1,speech_only,37.248,0.0124,2.956,0.0,0.0,0.0001,0.0001,2.9686,0.079698
S02_T1,text_only,37.248,0.0086,0.0,77.3319,0.0004,0.0001,0.0001,77.3411,2.076383
S02_T1,multimodal,37.248,0.0112,3.2679,72.7739,0.0003,0.0001,0.0001,76.0535,2.041814
S02_T2,speech_only,41.952,0.012,3.2628,0.0,0.0,0.0001,0.0001,3.275,0.078065
S02_T2,text_only,41.952,0.0098,0.0,107.4273,0.0004,0.0001,0.0001,107.4377,2.560967
S02_T2,multimodal,41.952,0.0132,3.2977,111.406,0.0003,0.0001,0.0001,114.7174,2.734492
S03_T1,speech_only,42.784,0.0314,3.2673,0.0,0.0,0.0001,0.0001,3.2989,0.077106
S03_T1,text_only,42.784,0.0274,0.0,259.7384,0.0003,0.0001,0.0001,259.7663,6.071576
S03_T1,multimodal,42.784,0.0327,3.2707,319.3465,0.0003,0.0001,0.0001,322.6504,7.54138
S03_T2,speech_only,64.032,0.0472,5.0318,0.0,0.0,0.0001,0.0001,5.0792,0.079323
S03_T2,text_only,64.032,0.0387,0.0,202.6824,0.0005,0.0001,0.0001,202.7218,3.165945
S03_T2,multimodal,64.032,0.0424,5.011,203.5736,0.0005,0.0001,0.0001,208.6277,3.258179
S04_T1,speech_only,49.568,0.0346,3.9312,0.0,0.0,0.0001,0.0001,3.966,0.080011
S04_T1,text_only,49.568,0.0312,0.0,106.4937,0.0004,0.0001,0.0001,106.5255,2.149078
S04_T1,multimodal,49.568,0.0323,3.8634,99.4896,0.0004,0.0001,0.0001,103.3859,2.085739
S04_T2,speech_only,49.248,0.034,3.8302,0.0,0.0,0.0001,0.0001,3.8644,0.078468
S04_T2,text_only,49.248,0.0297,0.0,107.6971,0.0004,0.0001,0.0001,107.7274,2.187447
S04_T2,multimodal,49.248,0.0303,3.8906,95.302,0.0004,0.0001,0.0001,99.2235,2.014772
S05_T1,speech_only,44.16,0.0325,3.576,0.0,0.0,0.0001,0.0001,3.6087,0.081719
S05_T1,text_only,44.16,0.0268,0.0,117.2699,0.0005,0.0001,0.0001,117.2974,2.656191
S05_T1,multimodal,44.16,0.0314,3.5868,106.5203,0.0005,0.0001,0.0001,110.1392,2.494094
S05_T2,speech_only,65.6,0.0444,5.4563,0.0,0.0,0.0001,0.0001,5.5009,0.083855
S05_T2,text_only,65.6,0.0391,0.0,129.5396,0.0006,0.0001,0.0001,129.5795,1.975297
S05_T2,multimodal,65.6,0.0444,5.1007,124.8387,0.0005,0.0001,0.0001,129.9845,1.981471
S06_T1,speech_only,32.704,0.0115,2.5831,0.0,0.0,0.0001,0.0001,2.5948,0.079342
S06_T1,text_only,32.704,0.0074,0.0,195.6594,0.0004,0.0001,0.0001,195.6674,5.982981
S06_T1,multimodal,32.704,0.0101,2.5623,318.4193,0.0004,0.0001,0.0001,320.9923,9.815078
S06_T2,speech_only,55.424,0.0197,4.4254,0.0,0.0,0.0001,0.0001,4.4453,0.080205
S06_T2,text_only,55.424,0.0127,0.0,140.6412,0.0005,0.0001,0.0001,140.6546,2.537792
S06_T2,multimodal,55.424,0.0153,4.434,123.9866,0.0006,0.0001,0.0001,128.4367,2.317348
S07_T1,speech_only,44.064,0.0124,3.4624,0.0,0.0,0.0001,0.0001,3.475,0.078863
S07_T1,text_only,44.064,0.0101,0.0,52.0836,0.0003,0.0001,0.0001,52.0942,1.182239
S07_T1,multimodal,44.064,0.0099,3.4565,69.4224,0.0003,0.0001,0.0001,72.8893,1.654169
S07_T2,speech_only,55.808,0.0154,4.3785,0.0,0.0,0.0001,0.0001,4.3941,0.078736
S07_T2,text_only,55.808,0.0125,0.0,103.9314,0.0004,0.0001,0.0001,103.9445,1.862538
S07_T2,multimodal,55.808,0.0151,4.2667,121.1485,0.0004,0.0001,0.0001,125.4309,2.247543
S08_T1,speech_only,64.0,0.0438,4.8906,0.0,0.0,0.0001,0.0001,4.9346,0.077103
S08_T1,text_only,64.0,0.0376,0.0,134.2759,0.0005,0.0001,0.0001,134.3142,2.098659
S08_T1,multimodal,64.0,0.0418,4.8244,143.4691,0.0004,0.0001,0.0001,148.3359,2.317748
S08_T2,speech_only,63.2,0.0416,4.8122,0.0,0.0,0.0001,0.0001,4.854,0.076804
S08_T2,text_only,63.2,0.0372,0.0,132.6526,0.0007,0.0001,0.0001,132.6907,2.099536
S08_T2,multimodal,63.2,0.0438,4.9334,141.6514,0.0006,0.0001,0.0001,146.6294,2.320085
S09_T1,speech_only,49.376,0.035,3.819,0.0,0.0,0.0001,0.0001,3.8542,0.078058
S09_T1,text_only,49.376,0.0296,0.0,154.3584,0.0005,0.0001,0.0001,154.3887,3.126796
S09_T1,multimodal,49.376,0.0379,3.8043,154.8996,0.0004,0.0001,0.0001,158.7424,3.214971
S09_T2,speech_only,72.416,0.0477,6.5711,0.0,0.0,0.0001,0.0001,6.619,0.091402
S09_T2,text_only,72.416,0.0502,0.0,140.9926,0.0005,0.0001,0.0001,141.0435,1.947684
S09_T2,multimodal,72.416,0.0482,5.6455,142.6798,0.0005,0.0001,0.0001,148.3742,2.048915
S10_T1,speech_only,51.232,0.0137,4.0121,0.0,0.0,0.0001,0.0001,4.026,0.078584
S10_T1,text_only,51.232,0.012,0.0,119.4883,0.0006,0.0001,0.0001,119.5011,2.332548
S10_T1,multimodal,51.232,0.0155,4.0155,116.2198,0.0005,0.0001,0.0001,120.2515,2.347195
S10_T2,speech_only,55.584,0.0153,4.3439,0.0,0.0,0.0001,0.0001,4.3594,0.078429
S10_T2,text_only,55.584,0.0124,0.0,90.8688,0.0004,0.0001,0.0001,90.8818,1.635035
S10_T2,multimodal,55.584,0.0126,4.3294,104.9755,0.0004,0.0001,0.0001,109.3181,1.966719
